corrida,gen,best_gap,best_g6,n,evento,epoch
11,38,-0.5226456854,QA@ADP??A?BA?@?O?G?A?O???C?,18,gen,1783364512
11,39,-0.5226456854,QA@ADP??A?BA?@?O?G?A?O???C?,18,gen,1783364512
11,40,-0.5226456854,QA@ADP??A?BA?@?O?G?A?O???C?,18,gen,1783364512
11,41,-0.5018244495,RA@ADP??A?BA?@?O?G?A?O???CA???,19,gen,1783364512
11,42,-0.5018244495,RA@ADP??A?BA?@?O?G?A?O???CA???,19,gen,1783364512
11,43,-0.4802646661,RA@ADP??A?BA?@?O?G?A?O???C??G?,19,gen,1783364512
11,44,-0.4802646661,RA@ADP??A?BA?@?O?G?A?O???C??G?,19,gen,1783364512
11,45,-0.4217575990,SA@DQ??O?p?@?_?_?OA???A@???C?A???,20,gen,1783364512
11,46,-0.4217575990,SA@DQ??O?p?@?_?_?OA???A@???C?A???,20,gen,1783364512
11,47,-0.4217575990,SA@ADP??A?BA?@?O?G?A?O??@???GA???,20,gen,1783364512
11,48,-0.4217575990,SA@DQ??O?p?@?_?_?OA???A?A?A??A???,20,gen,1783364512
11,49,-0.3996195366,TA@ADP??A?BA?@?O?G?A?O???C?A???G??C?,21,gen,1783364512
11,50,-0.3996195366,TA@ADP??A?BA?@?O?G?A?O???C?A???G??C?,21,gen,1783364512
11,51,-0.3996195366,T?@ADP??A?BA?@?O?G?A?O???C?A???G@?C?,21,gen,1783364512
11,52,-0.3562911697,TA@DQ??O?p?@?_?_?OA???A@???C?A????G?,21,gen,1783364512
11,53,-0.3562911697,TA@DQ??O?p?@?_?_?OA???A@???C?A????G?,21,gen,1783364512
11,54,-0.3562911697,TA@DQ??O?p?@?_?_?OA???A@???C?A????G?,21,gen,1783364513
11,55,-0.3562911697,TA@DQ??O?p?@?_?_?OA???A@???C?A????G?,21,gen,1783364513
11,56,-0.3562911697,TA@DQ??O?p?@?_?_?OA???A?A?A????O@???,21,gen,1783364513
11,57,-0.3562911697,TA@DQ??O?p?@?_?_?OA???A@???C?A????G?,21,gen,1783364513
11,58,-0.2763902223,VA@ADP??A?@A?@?O?G??G?@?@?A?GA????C?O???A???,23,gen,1783364513
11,59,-0.2763902223,VA@ADP??A?@A?@?O?G??G?@?@?A?GA????C?O???A???,23,gen,1783364513
11,60,-0.2763902223,VA@ADP??A?@A?@?O?G??G?@?@?A?GA????C?O???A???,23,gen,1783364513
11,61,-0.2763902223,VA@ADP??A?@A?@?O?G??G?@?@?A?GA????C?O???A???,23,gen,1783364513
11,62,-0.2041684767,WA@ADP??A?@A?@?O?G??G?@?@?A?GA????C?O???A???G??,24,gen,1783364513
11,63,-0.2041684767,WA@ADP??A?@A?@?O?G??G?@?@?A?GA????C?O???A???G??,24,gen,1783364513
11,64,-0.2041684767,WA@ADP??A?@A?@?O?G??G?@?@?A?GA????C?O???A???G??,24,gen,1783364513
11,65,-0.2041684767,WA@ADP??A?@A?@?O?G??G?@?@?A?GA????C?O???A???G??,24,gen,1783364513
11,66,-0.2041684767,WA@ADP??A?@A?@?O?G??G?@?@?A?GA????C?O???A???G??,24,gen,1783364513
11,67,-0.1884286323,XA@ADP??A?@A?@?O?G??G?@?@?A?GA????C?O???A???G???O??,25,gen,1783364513
